Angle: +00.00, BaseSpeed: +06.28, Error: +24.00, DerivativeError: +13.00, DeltaSpeed: -01.77
Angle: +21.80, BaseSpeed: +06.06, Error: +07.00, DerivativeError: -17.00, DeltaSpeed: -02.55
Angle: +26.57, BaseSpeed: +06.01, Error: -10.00, DerivativeError: -17.00, DeltaSpeed: -03.50
Angle: +17.53, BaseSpeed: +06.10, Error: +12.00, DerivativeError: +22.00, DeltaSpeed: -02.28
Angle: +00.00, BaseSpeed: +06.28, Error: +25.00, DerivativeError: +13.00, DeltaSpeed: -01.38
Angle: +00.00, BaseSpeed: +06.28, Error: +23.00, DerivativeError: -02.00, DeltaSpeed: -01.25
Angle: +00.00, BaseSpeed: +06.28, Error: +06.00, DerivativeError: -17.00, DeltaSpeed: -02.04
Angle: +00.00, BaseSpeed: +06.28, Error: +16.00, DerivativeError: +10.00, DeltaSpeed: -01.38
Angle: +00.00, BaseSpeed: +06.28, Error: +22.00, DerivativeError: +06.00, DeltaSpeed: -00.86
Angle: +00.00, BaseSpeed: +06.28, Error: +25.00, DerivativeError: +03.00, DeltaSpeed: -00.46
Angle: +00.00, BaseSpeed: +06.28, Error: +25.00, DerivativeError: +00.00, DeltaSpeed: -00.21
Angle: +00.00, BaseSpeed: +06.28, Error: +22.00, DerivativeError: -03.00, DeltaSpeed: -00.14
Angle: +00.00, BaseSpeed: +06.28, Error: +19.00, DerivativeError: -03.00, DeltaSpeed: -00.10
Angle: +00.00, BaseSpeed: +06.28, Error: +16.00, DerivativeError: -03.00, DeltaSpeed: -00.09
Angle: +00.00, BaseSpeed: +06.28, Error: +12.00, DerivativeError: -04.00, DeltaSpeed: -00.17
Angle: +00.00, BaseSpeed: +06.28, Error: +10.00, DerivativeError: -02.00, DeltaSpeed: -00.17
Angle: +00.00, BaseSpeed: +06.28, Error: +07.00, DerivativeError: -03.00, DeltaSpeed: -00.25
Angle: +00.00, BaseSpeed: +06.28, Error: +06.00, DerivativeError: -01.00, DeltaSpeed: -00.24
Angle: +00.00, BaseSpeed: +06.28, Error: +05.00, DerivativeError: -01.00, DeltaSpeed: -00.24
Angle: +00.00, BaseSpeed: +06.28, Error: +05.00, DerivativeError: +00.00, DeltaSpeed: -00.19
Angle: +00.00, BaseSpeed: +06.28, Error: +04.00, DerivativeError: -01.00, DeltaSpeed: -00.20
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: -01.00, DeltaSpeed: -00.22
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: +00.00, DeltaSpeed: -00.19
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: +00.00, DeltaSpeed: -00.16
Angle: +00.00, BaseSpeed: +06.28, Error: +03.00, DerivativeError: +00.00, DeltaSpeed: -00.13
Angle: +00.00, BaseSpeed: +06.28, Error: +02.00, DerivativeError: -01.00, DeltaSpeed: -00.16
Angle: +00.00, BaseSpeed: +06.28, Error: +02.00, DerivativeError: +00.00, DeltaSpeed: -00.14
